#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.20000000000000015,-37119.78944859619,-36173.1979907887,56.93862660356781
0.4000000000000003,-36439.71555716384,-34737.164915079455,102.4104902740659
0.6000000000000004,-35761.50560750326,-33455.409209711506,138.71450098422693
0.8000000000000006,-35362.5995597603,-32494.683122406597,172.50865915792696
1.0000000000000007,-34932.44889611192,-31723.326616842765,193.03260522519736
1.2000000000000008,-34485.138350335736,-31013.188521198317,208.8420017707165
1.400000000000001,-34205.296725221066,-30310.14373523844,234.29818622501952
1.6000000000000012,-33949.70864182414,-29901.111920560536,243.5280131456027
1.8000000000000014,-33888.405461879825,-29493.65546979793,264.34955307411417
2.0000000000000013,-33642.2857886476,-29272.73436066322,262.83382881919863
2.1999999999999793,-33382.90313661689,-29040.95061183194,261.1737212501109
2.3999999999999573,-33139.94889424133,-28773.97538665138,262.61861255913715
2.5999999999999353,-33126.2169518086,-28442.223238209437,281.7479144485599
2.7999999999999132,-32809.50463323158,-28301.30011613344,271.17398063798413
2.999999999999891,-33186.59070050428,-28183.553244634444,300.9387832880391
3.199999999999869,-32874.7310113757,-28094.039003015874,287.56443439828746
3.399999999999847,-32908.11347577712,-28003.375810428435,295.02593142197975
3.599999999999825,-32730.909611297742,-27898.012240259646,290.70465040987807
3.799999999999803,-32825.31586129774,-27917.104919156962,295.234853242185
3.999999999999781,-32564.178699170705,-27823.01999365678,285.18645818628767
4.1999999999997595,-32614.66499951284,-27873.337221618625,285.19662809544
4.3999999999997375,-32773.70691460691,-27833.460825211776,297.1618062826561
4.599999999999715,-32554.175963419373,-27614.08785936318,297.15230327251516
4.799999999999693,-32491.630707871896,-27484.21800108769,301.2019599478909
4.999999999999671,-32373.830754275637,-27193.947559721273,311.576269394995
5.199999999999649,-32276.817612297455,-27212.49539077989,304.6251364226694
5.399999999999627,-32374.388525293616,-27376.655855217425,300.6196939755114
5.599999999999605,-32314.428521047637,-27375.886634850234,297.0592963891513
5.799999999999583,-32405.473101152165,-27380.943642940663,302.23155334866203
5.999999999999561,-32448.30487175478,-27468.122627553123,299.56401452968333
6.199999999999539,-32454.374251379922,-27489.948634489265,298.61623424750064
6.399999999999517,-32393.725813879922,-27426.278257559345,298.79800757684944
6.599999999999495,-32567.97162431985,-27624.095203753503,297.38017511463727
6.799999999999473,-32507.201634109428,-27519.060519778577,300.0427502405698
6.999999999999451,-32453.94428715206,-27434.349420166604,301.9347316892823
7.199999999999429,-32524.23166590897,-27509.748964853265,301.6272286956638
7.399999999999407,-32199.537814505078,-27326.216081512306,293.1362249101974
7.599999999999385,-32416.22498952865,-27324.22312241688,306.29010074493175
7.799999999999363,-32432.662699115783,-27467.666253105126,298.65057031281157
